type,model_name,metric,1,2,3,4,foreground_mean
CNN,AlignedMAE,Dice,0.5245815483986941,0.8918384516764428,0.6559210896498288,0.7178293049463623,0.697542598667832
CNN,AlignedMAE,FN,440.52444444444444,4108.259259259259,882.2340740740741,1356.6103703703704,1696.9070370370368
CNN,AlignedMAE,FP,327.8992592592593,3697.177777777778,640.36,1391.7259259259258,1514.2907407407406
CNN,AlignedMAE,IoU,0.4420599363166407,0.8168881844392748,0.5763646038475353,0.6434545830974646,0.6196918269252288
CNN,AlignedMAE,NSD,0.6114438752235921,0.9198102319764743,0.7235722435802798,0.7392340720760567,0.7485151057141007
CNN,AlignedMAE,TN,7219113.139259259,7168755.242962963,7211845.885925926,7205539.887407407,7201313.538888888
CNN,AlignedMAE,TP,1150.437037037037,44471.32,7663.52,12743.776296296297,16507.263333333336
CNN,AlignedMAE,n_pred,1478.3362962962963,48168.497777777775,8303.88,14135.502222222221,18021.554074074073
CNN,AlignedMAE,n_ref,1590.9614814814815,48579.57925925926,8545.754074074073,14100.386666666667,18204.17037037037
CNN,BaseMAEBS8,Dice,0.5329105846327944,0.8940776529657375,0.6481591516407057,0.7179145433658534,0.6982654831512727
CNN,BaseMAEBS8,FN,443.3437037037037,4345.108148148148,922.0118518518518,1264.717037037037,1743.7951851851851
CNN,BaseMAEBS8,FP,306.402962962963,3449.834074074074,637.9585185185185,1437.4962962962964,1457.922962962963
CNN,BaseMAEBS8,IoU,0.4506122812054703,0.8189540026292214,0.5685129273054556,0.6421480911981275,0.6200568255845686
CNN,BaseMAEBS8,NSD,0.6176857919562019,0.9225924345133844,0.7187018209687798,0.7417345730107199,0.7501786551122714
CNN,BaseMAEBS8,TN,7219134.635555555,7169002.586666667,7211848.287407408,7205494.117037037,7201369.906666666
CNN,BaseMAEBS8,TP,1147.6177777777777,44234.47111111111,7623.742222222222,12835.66962962963,16460.375185185185
CNN,BaseMAEBS8,n_pred,1454.0207407407408,47684.305185185185,8261.70074074074,14273.165925925927,17918.29814814815
CNN,BaseMAEBS8,n_ref,1590.9614814814815,48579.57925925926,8545.754074074073,14100.386666666667,18204.17037037037
CNN,ConMAEFT,Dice,0.5267057944397433,0.8933825307301642,0.6473454159890669,0.7167000438710106,0.6960334462574963
CNN,ConMAEFT,FN,477.33629629629627,4105.308148148149,833.4740740740741,1263.797037037037,1669.978888888889
CNN,ConMAEFT,FP,291.7674074074074,3645.711111111111,717.1703703703704,1491.3348148148148,1536.4959259259258
CNN,ConMAEFT,IoU,0.4442644977726832,0.8186633835035738,0.5687635764013272,0.6411194620587358,0.61820272993408
CNN,ConMAEFT,NSD,0.6157810858572285,0.9219709253116459,0.714269395637548,0.739833876599875,0.7479638208515743
CNN,ConMAEFT,TN,7219149.271111111,7168806.70962963,7211769.0755555555,7205440.278518518,7201291.333703704
CNN,ConMAEFT,TP,1113.6251851851853,44474.27111111111,7712.28,12836.58962962963,16534.19148148148
CNN,ConMAEFT,n_pred,1405.3925925925926,48119.98222222222,8429.45037037037,14327.924444444445,18070.687407407408
CNN,ConMAEFT,n_ref,1590.9614814814815,48579.57925925926,8545.754074074073,14100.386666666667,18204.17037037037
CNN,KV_MAE,Dice,0.49595112031588395,0.8832776792230467,0.6406107389510209,0.6975464423557292,0.6793464952114201
CNN,KV_MAE,FN,654.7985185185186,5139.995555555555,844.7896296296296,1385.5733333333333,2006.2892592592593
CNN,KV_MAE,FP,332.1911111111111,3504.468148148148,734.4651851851852,1760.6666666666667,1582.947777777778
CNN,KV_MAE,IoU,0.4085336595664406,0.8067882660238281,0.5616123673472174,0.620531223831988,0.5993663791923685
CNN,KV_MAE,NSD,0.5936727383144774,0.9070842827969359,0.7051551966663141,0.7134148384261095,0.7298317640509592
CNN,KV_MAE,TN,7218907.866666666,7166018.654814815,7212035.468148148,7205521.976296296,7200620.991481481
CNN,KV_MAE,TP,1137.1437037037037,46368.88148148148,7417.277037037037,12363.783703703704,16821.771481481483
CNN,KV_MAE,n_pred,1469.3348148148148,49873.34962962963,8151.742222222222,14124.45037037037,18404.71925925926
CNN,KV_MAE,n_ref,1791.9422222222222,51508.87703703704,8262.066666666668,13749.357037037036,18828.06074074074
CNN,VarAligned2,Dice,0.5220980357299814,0.888241728921513,0.6538285039856253,0.713893772669864,0.694515510326746
CNN,VarAligned2,FN,495.0562962962963,4337.305185185185,864.6370370370371,1313.2948148148148,1752.5733333333333
CNN,VarAligned2,FP,320.2562962962963,3648.1037037037036,719.5185185185185,1449.7111111111112,1534.3974074074072
CNN,VarAligned2,IoU,0.43825086238622846,0.8123744808577559,0.5732793751212191,0.6373301632459294,0.6153087204027832
CNN,VarAligned2,NSD,0.6130172857727614,0.9152215086452964,0.7222874556634932,0.7363134754875306,0.7467099313922704
CNN,VarAligned2,TN,7219120.782222223,7168804.317037037,7211766.727407407,7205481.902222223,7201293.432222223
CNN,VarAligned2,TP,1095.9051851851852,44242.27407407408,7681.117037037037,12787.091851851852,16451.597037037038
CNN,VarAligned2,n_pred,1416.1614814814816,47890.37777777778,8400.635555555555,14236.802962962964,17985.994444444445
CNN,VarAligned2,n_ref,1590.9614814814815,48579.57925925926,8545.754074074073,14100.386666666667,18204.17037037037
EVA,AlignedMAEFTLR3,Dice,0.4577082655837996,0.8830782764368147,0.6108581991499408,0.7076501917922536,0.6648237332407022
EVA,AlignedMAEFTLR3,FN,568.7762962962963,4483.540740740741,1066.131851851852,1237.245925925926,1838.9237037037037
