type,model_name,metric,1,foreground_mean
CNN,LPMAE,NSD,0.7708520084517867,0.7708520084517867
CNN,LPMAE,TN,921379.168,921379.168
CNN,LPMAE,TP,2472.024,2472.024
CNN,LPMAE,n_pred,2674.368,2674.368
CNN,LPMAE,n_ref,3163.392,3163.392
CNN,MAE,Dice,0.7929900556639873,0.7929900556639873
CNN,MAE,FN,723.808,723.808
CNN,MAE,FP,188.368,188.368
CNN,MAE,IoU,0.6837997487057343,0.6837997487057343
CNN,MAE,NSD,0.7820363758815142,0.7820363758815142
CNN,MAE,TN,921393.144,921393.144
CNN,MAE,TP,2439.584,2439.584
CNN,MAE,n_pred,2627.952,2627.952
CNN,MAE,n_ref,3163.392,3163.392
CNN,VarAligned2MAEFT,Dice,0.7858693317829896,0.7858693317829896
CNN,VarAligned2MAEFT,FN,417.736,417.736
CNN,VarAligned2MAEFT,FP,280.752,280.752
CNN,VarAligned2MAEFT,IoU,0.6728772529007664,0.6728772529007664
CNN,VarAligned2MAEFT,NSD,0.7669418385935264,0.7669418385935264
CNN,VarAligned2MAEFT,TN,899145.832,899145.832
CNN,VarAligned2MAEFT,TP,2081.488,2081.488
CNN,VarAligned2MAEFT,n_pred,2362.24,2362.24
CNN,VarAligned2MAEFT,n_ref,2499.224,2499.224
CNN,VarAlignedMAEFT,Dice,0.7870470848717777,0.7870470848717777
CNN,VarAlignedMAEFT,FN,373.872,373.872
CNN,VarAlignedMAEFT,FP,304.072,304.072
CNN,VarAlignedMAEFT,IoU,0.6728654061496706,0.6728654061496706
CNN,VarAlignedMAEFT,NSD,0.7664128638125722,0.7664128638125722
CNN,VarAlignedMAEFT,TN,899122.512,899122.512
CNN,VarAlignedMAEFT,TP,2125.352,2125.352
CNN,VarAlignedMAEFT,n_pred,2429.424,2429.424
CNN,VarAlignedMAEFT,n_ref,2499.224,2499.224
EVA,AE,Dice,0.7605420291984056,0.7605420291984056
EVA,AE,FN,454.368,454.368
EVA,AE,FP,283.08,283.08
EVA,AE,IoU,0.6440300559227962,0.6440300559227962
