type,model_name,metric,1,2,3,foreground_mean
CNN,AlignedMAE,Dice,0.7999676636818749,0.6175245899801561,0.7677053978498601,0.7283992171706304
CNN,AlignedMAE,FN,11278.57438016529,7238.421487603306,2777.9338842975208,7098.309917355371
CNN,AlignedMAE,FP,10134.487603305784,3803.4256198347107,2591.9462809917354,5509.953168044077
CNN,AlignedMAE,IoU,0.6808480406785118,0.48170531035764363,0.6674352907351742,0.6099962139237766
CNN,AlignedMAE,NSD,0.7921874701064902,0.6827687903527431,0.8356511883819148,0.7702024829470493
CNN,AlignedMAE,TN,8851724.487603305,8904658.495867768,8905758.070247933,8887380.351239668
CNN,AlignedMAE,TP,54862.45041322314,12299.657024793389,16872.04958677686,28011.385674931127
CNN,AlignedMAE,n_pred,64996.938016528926,16103.082644628099,19463.995867768594,33521.33884297521
CNN,AlignedMAE,n_ref,66141.02479338842,19538.078512396693,19649.98347107438,35109.6955922865
CNN,BaseBS8,Dice,0.7962740124446277,0.604962208934059,0.7652669989500767,0.722167740109588
CNN,BaseBS8,FN,11698.537190082645,7406.611570247934,2834.00826446281,7313.052341597796
CNN,BaseBS8,FP,10272.342975206611,3885.2561983471073,2580.293388429752,5579.297520661156
CNN,BaseBS8,IoU,0.6759909128941929,0.469759287483225,0.6640467080587252,0.6032656361453811
CNN,BaseBS8,NSD,0.7862449931462067,0.6753204179170836,0.8332441553143831,0.7649365221258911
CNN,BaseBS8,TN,8851586.632231405,8904576.665289257,8905769.723140497,8887311.006887052
CNN,BaseBS8,TP,54442.48760330579,12131.46694214876,16815.97520661157,27796.643250688707
CNN,BaseBS8,n_pred,64714.830578512396,16016.723140495867,19396.26859504132,33375.94077134986
CNN,BaseBS8,n_ref,66141.02479338842,19538.078512396693,19649.98347107438,35109.6955922865
CNN,ConMAEFT,Dice,0.7983210147557027,0.6166314528334123,0.7701481611097425,0.7283668762329526
CNN,ConMAEFT,FN,11421.305785123966,7298.586776859504,2770.181818181818,7163.358126721762
CNN,ConMAEFT,FP,10149.892561983472,3744.2520661157023,2587.9834710743803,5494.042699724519
CNN,ConMAEFT,IoU,0.6787672801243279,0.4806224981163674,0.6692272890432668,0.6095390224279873
CNN,ConMAEFT,NSD,0.7911972663042337,0.6813048407855307,0.8364679648053513,0.7696566906317052
CNN,ConMAEFT,TN,8851709.082644628,8904717.669421488,8905762.033057852,8887396.26170799
CNN,ConMAEFT,TP,54719.71900826446,12239.49173553719,16879.801652892562,27946.33746556474
CNN,ConMAEFT,n_pred,64869.61157024794,15983.743801652892,19467.785123966944,33440.38016528926
CNN,ConMAEFT,n_ref,66141.02479338842,19538.078512396693,19649.98347107438,35109.6955922865
CNN,VarALigned2MAEFT,Dice,0.7986512760433453,0.6213084320018423,0.7684244097535812,0.7294613725995895
CNN,VarALigned2MAEFT,FN,11416.05785123967,7200.772727272727,2885.801652892562,7167.544077134986
CNN,VarALigned2MAEFT,FP,10291.648760330578,3862.2355371900826,2438.8553719008264,5530.913223140496
CNN,VarALigned2MAEFT,IoU,0.6792769348406091,0.48511775329570506,0.6680199559341939,0.6108048813568361
CNN,VarALigned2MAEFT,NSD,0.7905034590645078,0.6822099827733453,0.837152926838134,0.769955456225329
CNN,VarALigned2MAEFT,TN,8851567.326446282,8904599.685950413,8905911.161157025,8887359.391184574
CNN,VarALigned2MAEFT,TP,54724.96694214876,12337.305785123966,16764.18181818182,27942.15151515152
CNN,VarALigned2MAEFT,n_pred,65016.615702479336,16199.54132231405,19203.037190082643,33473.06473829201
CNN,VarALigned2MAEFT,n_ref,66141.02479338842,19538.078512396693,19649.98347107438,35109.6955922865
EVA,AlignedMAEFTLR3,Dice,0.7939331632672002,0.5992377798802864,0.7625516923192509,0.7185742118222458
EVA,AlignedMAEFTLR3,FN,11528.756198347108,7590.553719008264,2765.9752066115702,7295.095041322314
EVA,AlignedMAEFTLR3,FP,10895.161157024793,3753.181818181818,2865.2685950413224,5837.870523415978
EVA,AlignedMAEFTLR3,IoU,0.672934901673927,0.46207730813605447,0.6573974637900403,0.5974698912000073
EVA,AlignedMAEFTLR3,NSD,0.7843702005186927,0.6624622190685817,0.836253978753174,0.7610287994468162
EVA,AlignedMAEFTLR3,TN,8850963.814049587,8904708.739669422,8905484.747933885,8887052.433884298
EVA,AlignedMAEFTLR3,TP,54612.26859504132,11947.52479338843,16884.00826446281,27814.600550964187
EVA,AlignedMAEFTLR3,n_pred,65507.42975206611,15700.706611570247,19749.27685950413,33652.47107438016
EVA,AlignedMAEFTLR3,n_ref,66141.02479338842,19538.078512396693,19649.98347107438,35109.6955922865
EVA,BaseMAEBS8,Dice,0.7897229258739441,0.5952044946663148,0.7572503912906348,0.7140592706102978
EVA,BaseMAEBS8,FN,12086.227272727272,7746.809917355372,2820.061983471074,7551.033057851239
EVA,BaseMAEBS8,FP,10974.768595041322,3745.190082644628,2862.5123966942147,5860.823691460056
EVA,BaseMAEBS8,IoU,0.668118670485145,0.4596129178016429,0.653104460343248,0.5936120162100119
EVA,BaseMAEBS8,NSD,0.7786795944657029,0.658516036094676,0.8260635927946582,0.7544197411183458
EVA,BaseMAEBS8,TN,8850884.20661157,8904716.731404958,8905487.504132232,8887029.480716253
EVA,BaseMAEBS8,TP,54054.79752066116,11791.268595041322,16829.921487603307,27558.66253443526
EVA,BaseMAEBS8,n_pred,65029.56611570248,15536.45867768595,19692.43388429752,33419.48622589532
EVA,BaseMAEBS8,n_ref,66141.02479338842,19538.078512396693,19649.98347107438,35109.6955922865
